ROI,Subject,Effect, LocalizerSize,EffectSize
1,181_KAN_polyglot_02_PL2017,N, 37,0.761535
1,181_KAN_polyglot_02_PL2017,S-N, 37,0.255183
1,182_FED_20161102_3T1_PL2017,S, 37,2.512853
1,182_FED_20161102_3T1_PL2017,N, 37,0.935072
1,182_FED_20161102_3T1_PL2017,S-N, 37,1.577780
1,182_KAN_polyglot_03_PL2017,S, 37,2.041827
1,182_KAN_polyglot_03_PL2017,N, 37,0.617016
1,182_KAN_polyglot_03_PL2017,S-N, 37,1.424811
1,183_POLY01_20160420_3T1_PL2017,S, 37,0.450220
1,183_POLY01_20160420_3T1_PL2017,N, 37,0.399454
1,183_POLY01_20160420_3T1_PL2017,S-N, 37,0.050766
1,183_KAN_polyglot_04a_PL2017,S, 37,0.575521
1,183_KAN_polyglot_04a_PL2017,N, 37,0.420862
1,183_KAN_polyglot_04a_PL2017,S-N, 37,0.154659
1,185_KAN_langsens_01_PL2017,S, 37,0.850748
1,185_KAN_langsens_01_PL2017,N, 37,-0.219007
1,185_KAN_langsens_01_PL2017,S-N, 37,1.069755
1,186_KAN_langsens_03_PL2017,S, 37,0.573378
1,186_KAN_langsens_03_PL2017,N, 37,0.136470
1,186_KAN_langsens_03_PL2017,S-N, 37,0.436909
1,187_KAN_SpLoc_01_PL2017,S, 37,0.109305
1,187_KAN_SpLoc_01_PL2017,N, 37,-0.134119
1,187_KAN_SpLoc_01_PL2017,S-N, 37,0.243424
1,188_KAN_SpLoc_02_PL2017,S, 37,1.321575
1,188_KAN_SpLoc_02_PL2017,N, 37,0.457398
1,188_KAN_SpLoc_02_PL2017,S-N, 37,0.864177
1,189_KAN_langsens_04_PL2017,S, 37,1.137934
1,189_KAN_langsens_04_PL2017,N, 37,-0.138337
1,189_KAN_langsens_04_PL2017,S-N, 37,1.276272
1,189_FED_20150916a_3T2_PL2017,S, 37,0.273930
1,189_FED_20150916a_3T2_PL2017,N, 37,0.148107
1,189_FED_20150916a_3T2_PL2017,S-N, 37,0.125823
1,191_KAN_prodsemphon_03_PL2017,S, 37,1.743465
1,191_KAN_prodsemphon_03_PL2017,N, 37,0.567489
1,191_KAN_prodsemphon_03_PL2017,S-N, 37,1.175976
1,192_KAN_prodsemphon_04_PL2017,S, 37,2.395319
1,192_KAN_prodsemphon_04_PL2017,N, 37,0.326051
1,192_KAN_prodsemphon_04_PL2017,S-N, 37,2.069268
1,193_KAN_SpLoc_03_PL2017,S, 37,1.990979
1,193_KAN_SpLoc_03_PL2017,N, 37,0.555307
1,193_KAN_SpLoc_03_PL2017,S-N, 37,1.435672
1,194_KAN_RHnonlit_04_PL2017,S, 37,2.488867
1,194_KAN_RHnonlit_04_PL2017,N, 37,0.834021
1,194_KAN_RHnonlit_04_PL2017,S-N, 37,1.654847
1,195_KAN_parametric_18_PL2017,S, 37,0.502054
1,195_KAN_parametric_18_PL2017,N, 37,-0.013377
1,195_KAN_parametric_18_PL2017,S-N, 37,0.515432
1,196_KAN_parametric_19_PL2017,S, 37,1.964440
1,196_KAN_parametric_19_PL2017,N, 37,0.442192
1,196_KAN_parametric_19_PL2017,S-N, 37,1.522248
1,197_KAN_RHnonlit_07_PL2017,S, 37,4.005669
