ROI,Subject,Session/Partition,LocalizerSize
1,305_FED_20150710b_3T2_PL2017,1,37
1,306_FED_20150715a_3T2_PL2017,1,37
1,307_FED_20150715d_3T2_PL2017,1,37
1,308_FED_20150716a_3T2_PL2017,1,37
1,309_FED_20150717a_3T2_PL2017,1,37
1,310_FED_20150617a_3T2_PL2017,1,37
1,311_FED_20150617b_3T2_PL2017,1,37
1,312_FED_20170925a_3T2_PL2017,1,37
1,318_FED_20191106d_3T2_PL2017,1,37
1,319_FED_20150624a_3T2_PL2017,1,37
1,320_POLY05_20160425_3T1_PL2017,1,37
1,320_FED_20150624c_3T2_PL2017,1,37
1,321_FED_20150819a_3T1_PL2017,1,37
1,322_FED_20150820a_3T2_PL2017,1,37
1,323_FED_20150823_3T2_PL2017,1,37
1,324_FED_20150827a_3T2_PL2017,1,37
1,325_FED_20150827b_3T2_PL2017,1,37
1,326_FED_20170923a_3T2_PL2017,1,37
1,326_FED_20150828c_3T2_PL2017,1,37
1,326_FED_20160523e_3T2_PL2017,1,37
1,327_FED_20150923b_3T2_PL2017,1,37
1,328_FED_20151106b_3T1_PL2017,1,37
1,329_FED_20151109a_3T1_PL2017,1,37
1,330_FED_20151111a_3T1_PL2017,1,37
1,331_FED_20151111c_3T1_PL2017,1,37
1,332_FED_20151113a_3T1_PL2017,1,37
1,333_FED_20151119a_3T1_PL2017,1,37
1,334_FED_20151119a_3T2_PL2017,1,37
1,335_FED_20151120a_3T1_PL2017,1,37
1,336_FED_20151212_3T1_PL2017,1,37
1,337_FED_20151215a_3T1_PL2017,1,37
1,338_FED_20170113b_3T2_PL2017,1,37
1,338_FED_20170614b_3T2_PL2017,1,37
1,338_FED_20160112a_3T2_PL2017,1,37
1,338_FED_20151215c_3T2_PL2017,1,37
1,339_FED_20151217a_3T2_PL2017,1,37
1,340_FED_20151217b_3T2_PL2017,1,37
1,341_FED_20151217c_3T2_PL2017,1,37
1,342_FED_20160105c_3T2_PL2017,1,37
1,343_FED_20160107a_3T2_PL2017,1,37
1,344_FED_20160107e_3T2_PL2017,1,37
1,345_FED_20160112b_3T2_PL2017,1,37
1,346_FED_20160112e_3T2_PL2017,1,37
1,347_FED_20160114e_3T2_PL2017,1,37
1,348_FED_20160119c_3T2_PL2017,1,37
1,349_FED_20160119d_3T2_PL2017,1,37
1,350_FED_20160121c_3T2_PL2017,1,37
1,351_FED_20160126a_3T2_PL2017,1,37
1,352_FED_20160126e_3T2_PL2017,1,37
1,353_FED_20160127a_3T1_PL2017,1,37
1,354_FED_20160128d_3T2_PL2017,1,37
1,355_FED_20160128e_3T2_PL2017,1,37
1,356_FED_20160202c_3T2_PL2017,1,37
1,357_FED_20160205m_3T2_PL2017,1,37
1,358_FED_20160208m_3T2_PL2017,1,37
1,359_FED_20160209m_3T2_PL2017,1,37
1,360_FED_20160211a_3T2_PL2017,1,37
1,361_FED_20160211b_3T2_PL2017,1,37
1,362_FED_20160212m_3T1_PL2017,1,37
1,363_FED_20160222b_3T2_PL2017,1,37
1,364_FED_20160229a_3T1_PL2017,1,37
1,365_FED_20170120a_3T2_PL2017,1,37
1,365_FED_20160229c_3T1_PL2017,1,37
1,366_FED_20170922b_3T2_PL2017,1,37
1,366_FED_20160229d_3T1_PL2017,1,37
1,366_FED_20161103a_3T1_PL2017,1,37
1,367_FED_20160309b_3T1_PL2017,1,37
1,368_FED_20160310b_3T1_PL2017,1,37
1,369_FED_20160317b_3T1_PL2017,1,37
1,370_FED_20160317c_3T1_PL2017,1,37
1,371_FED_20160318a_3T1_PL2017,1,37
1,372_FED_20160318b_3T1_PL2017,1,37
1,373_FED_20160318c_3T1_PL2017,1,37
1,375_FED_20160331d_3T1_PL2017,1,37
1,376_FED_20160401b_3T2_PL2017,1,37
1,378_FED_20160405a_3T1_PL2017,1,37
1,379_FED_20160407a_3T1_PL2017,1,37
1,380_FED_20160407b_3T1_PL2017,1,37
1,381_FED_20160407c_3T1_PL2017,1,37
1,382_FED_20160407a_3T2_PL2017,1,37
1,383_POLY04_20160420_3T1_PL2017,1,37
1,383_FED_20160505a_3T1_PL2017,1,37
1,384_FED_20160421a_3T2_PL2017,1,37
1,385_POLY03_20160421_3T2_PL2017,1,37
1,386_FED_20160425d_3T1_PL2017,1,37
1,387_FED_20160425a_3T1_PL2017,1,37
1,388_FED_20160426b_3T1_PL2017,1,37
1,389_POLY02_20160425_3T1_PL2017,1,37
1,390_FED_20160428a_3T1_PL2017,1,37
1,391_FED_20160429a_3T2_PL2017,1,37
1,392_FED_20160504a_3T1_PL2017,1,37
1,393_FED_20160504b_3T2_PL2017,1,37
1,394_POLY08_20160505_3T1_PL2017,1,37
1,395_FED_20160506a_3T2_PL2017,1,37
1,396_POLY09_20160512_3T1_PL2017,1,37
1,397_FED_20160516a_3T1_PL2017,1,37
1,398_FED_20160516b_3T1_PL2017,1,37
1,399_FED_20160519d_3T1_PL2017,1,37
1,400_FED_20160520a_3T1_PL2017,1,37
1,401_FED_20160520d_3T1_PL2017,1,37
1,402_FED_20160526c_3T1_PL2017,1,37
1,403_FED_20160526b_3T1_PL2017,1,37
1,404_FED_20160527a_3T2_PL2017,1,37
1,405_FED_20160531a_3T1_PL2017,1,37
1,406_FED_20160601a_3T1_PL2017,1,37
1,407_FED_20160616a_3T2_PL2017,1,37
1,408_FED_20160617a_3T2_PL2017,1,37
1,409_FED_20160622a_3T1_PL2017,1,37
