ROI,Subject,Weight
2,088_KAN_langevents_14_PL2017,1.000000
2,088_KAN_syntax_01_PL2017,1.000000
2,089_KAN_langevents_15_PL2017,1.000000
2,090_KAN_stories_01_PL2017,1.000000
2,092_KAN_syntax_03_PL2017,1.000000
2,095_KAN_syntax_04_PL2017,1.000000
2,096_KAN_syntax_06_PL2017,1.000000
2,097_KAN_syntax_09_PL2017,1.000000
2,098_KAN_stories_03_PL2017,1.000000
2,099_KAN_syntax_10_PL2017,1.000000
2,100_KAN_syntax_11_PL2017,1.000000
2,101_KAN_lingviol_09_PL2017,1.000000
2,101_KAN_syntax_13_PL2017,1.000000
2,103_KAN_lingviol_01_PL2017,1.000000
2,104_KAN_domspec_16_PL2017,1.000000
2,105_KAN_domspec_17_PL2017,1.000000
2,106_domspec_18_PL2017,1.000000
2,107_KAN_lingviol_04_PL2017,1.000000
2,108_KAN_domspec_19_PL2017,1.000000
2,109_KAN_lingviol_05_PL2017,1.000000
2,110_KAN_lingviol_07_PL2017,1.000000
2,111_KAN_lingviol_08_PL2017,1.000000
2,072_KAN_prod_02_PL2017,1.000000
2,072_KAN_syntshapes_11_PL2017,1.000000
2,112_KAN_stories_06_PL2017,1.000000
2,114_KAN_stories_08_PL2017,1.000000
2,118_KAN_syntshapes_03_PL2017,1.000000
2,119_KAN_syntshapes_04_PL2017,1.000000
2,123_KAN_syntshapes_06_PL2017,1.000000
2,130_KAN_syntshapes_10_PL2017,1.000000
2,131_KAN_syntshapes_12_PL2017,1.000000
2,146_KAN_stories_11_PL2017,1.000000
2,153_KAN_stories_14_PL2017,1.000000
2,157_KAN_events2_01_PL2017,1.000000
2,113_KAN_stories_07_PL2017,1.000000
2,116_KAN_langsyntaxshapes_01_PL2017,1.000000
2,117_KAN_langsyntaxshapes_02_PL2017,1.000000
2,126_KAN_langsyntaxshapes_07_PL2017,1.000000
2,129_KAN_langsyntaxshapes_09_PL2017,1.000000
2,132_KAN_langsyntaxshapes_13_PL2017,1.000000
2,122_KAN_langsyntaxshapes_05_PL2017,1.000000
2,127_KAN_langsyntaxshapes_08_PL2017,1.000000
2,127_KAN_prod_03_PL2017,1.000000
2,132_KAN_stories_10_PL2017,1.000000
2,145_KAN_stories_09_PL2017,1.000000
2,149_KAN_parametric_05_PL2017,1.000000
2,152_KAN_stories_13_PL2017,1.000000
3,017_domspec_09_PL2017,1.000000
3,019_KAN_langevents_08_PL2017,1.000000
3,019_KAN_langmus_05_PL2017,1.000000
3,019_KAN_domspec_03_PL2017,1.000000
3,021_domspec_10_PL2017,1.000000
3,023_langmus_07_PL2017,1.000000
3,030_KAN_langstroopBL_11_PL2017,1.000000
3,034_domspec_01_PL2017,1.000000
3,035_domspec_04_PL2017,1.000000
3,036_KAN_domspec_05_PL2017,1.000000
3,037_domspec_06_PL2017,1.000000
3,038_domspec_07_PL2017,1.000000
3,039_domspec_08_PL2017,1.000000
3,040_domspec_11_PL2017,1.000000
3,040_KAN_langevents_01_PL2017,1.000000
3,040_KAN_langstroop_05_PL2017,1.000000
3,041_KAN_domspec_12_PL2017,1.000000
3,042_domspec_13_PL2017,1.000000
3,043_langmus_01_PL2017,1.000000
3,044_langmus_02_PL2017,1.000000
3,045_langmus_06_PL2017,1.000000
3,046_KAN_langmus_08_PL2017,1.000000
3,046_KAN_langstroop_01_PL2017,1.000000
3,047_KAN_syntax_12_PL2017,1.000000
3,047_langmus_09_PL2017,1.000000
3,048_KAN_syntax_08_PL2017,1.000000
3,048_langmus_10_PL2017,1.000000
3,049_KAN_langmus_11_PL2017,1.000000
3,050_KAN_langmus_12_PL2017,1.000000
3,050_KAN_syntax_05_PL2017,1.000000
3,051_langmus_13_PL2017,1.000000
3,052_langmus_14_PL2017,1.000000
3,054_KAN_langstroop_02_PL2017,1.000000
3,056_KAN_langstroop_04_PL2017,1.000000
3,056_KAN_langevents_05_PL2017,1.000000
3,057_KAN_langevents_02_PL2017,1.000000
3,058_domspec_14_PL2017,1.000000
3,059_KAN_langevents_04_PL2017,1.000000
3,060_domspec_15_PL2017,1.000000
3,061_KAN_lingviol_02_PL2017,1.000000
3,061_KAN_stories_05_PL2017,1.000000
3,061_KAN_syntax_07_PL2017,1.000000
3,061_KAN_langstroopBL_05_PL2017,1.000000
3,062_KAN_langstroopBL_06_PL2017,1.000000
3,063_KAN_langstroopBL_07_PL2017,1.000000
3,064_KAN_langstroopBL_08_PL2017,1.000000
3,065_KAN_langstroopBL_09_PL2017,1.000000
3,066_KAN_langstroopBL_10_PL2017,1.000000
3,067_KAN_langevents_06_PL2017,1.000000
3,068_KAN_langevents_07_PL2017,1.000000
3,069_KAN_langevents_10_PL2017,1.000000
3,070_KAN_langevents_11_PL2017,1.000000
3,071_KAN_langstroopBL_12_PL2017,1.000000
3,072_KAN_langstroopBL_13_PL2017,1.000000
3,073_KAN_langstroopBL_14_PL2017,1.000000
3,074_KAN_langstroopBL_15_PL2017,1.000000
3,075_KAN_langmustask_01_PL2017,1.000000
3,076_KAN_langevents_16_PL2017,1.000000
3,076_KAN_langstroopBL_16_PL2017,1.000000
3,077_KAN_langmustask_02_PL2017,1.000000
3,078_KAN_langstroopBL_17_PL2017,1.000000
3,078_KAN_langevents_13_PL2017,1.000000
3,079_KAN_langstroopBL_18_PL2017,1.000000
3,080_KAN_langmustask_03_PL2017,1.000000
3,081_KAN_langstroopBL_19_PL2017,1.000000
3,082_KAN_langmustask_04_PL2017,1.000000
3,083_KAN_langstroopBL_20_PL2017,1.000000
3,084_KAN_syntax_02_PL2017,1.000000
3,084_KAN_langstroopBL_21_PL2017,1.000000
3,085_KAN_langstroopBL_22_PL2017,1.000000
3,085_KAN_stories_02_PL2017,1.000000
3,086_KAN_langstroopBL_23_PL2017,1.000000
3,087_KAN_langevents_12_PL2017,1.000000
3,088_KAN_stories_04_PL2017,1.000000
3,088_KAN_langevents_14_PL2017,1.000000
3,088_KAN_syntax_01_PL2017,1.000000
3,089_KAN_langevents_15_PL2017,1.000000
3,090_KAN_stories_01_PL2017,1.000000
3,092_KAN_syntax_03_PL2017,1.000000
3,095_KAN_syntax_04_PL2017,1.000000
3,096_KAN_syntax_06_PL2017,1.000000
3,097_KAN_syntax_09_PL2017,1.000000
3,098_KAN_stories_03_PL2017,1.000000
3,099_KAN_syntax_10_PL2017,1.000000
3,100_KAN_syntax_11_PL2017,1.000000
3,101_KAN_lingviol_09_PL2017,1.000000
3,101_KAN_syntax_13_PL2017,1.000000
3,103_KAN_lingviol_01_PL2017,1.000000
3,104_KAN_domspec_16_PL2017,1.000000
3,105_KAN_domspec_17_PL2017,1.000000
3,106_domspec_18_PL2017,1.000000
3,107_KAN_lingviol_04_PL2017,1.000000
3,108_KAN_domspec_19_PL2017,1.000000
3,109_KAN_lingviol_05_PL2017,1.000000
3,110_KAN_lingviol_07_PL2017,1.000000
3,111_KAN_lingviol_08_PL2017,1.000000
3,072_KAN_prod_02_PL2017,1.000000
3,072_KAN_syntshapes_11_PL2017,1.000000
3,112_KAN_stories_06_PL2017,1.000000
3,114_KAN_stories_08_PL2017,1.000000
3,118_KAN_syntshapes_03_PL2017,1.000000
3,119_KAN_syntshapes_04_PL2017,1.000000
3,123_KAN_syntshapes_06_PL2017,1.000000
3,130_KAN_syntshapes_10_PL2017,1.000000
3,131_KAN_syntshapes_12_PL2017,1.000000
3,146_KAN_stories_11_PL2017,1.000000
3,153_KAN_stories_14_PL2017,1.000000
3,157_KAN_events2_01_PL2017,1.000000
3,113_KAN_stories_07_PL2017,1.000000
3,116_KAN_langsyntaxshapes_01_PL2017,1.000000
3,117_KAN_langsyntaxshapes_02_PL2017,1.000000
3,126_KAN_langsyntaxshapes_07_PL2017,1.000000
3,129_KAN_langsyntaxshapes_09_PL2017,1.000000
3,132_KAN_langsyntaxshapes_13_PL2017,1.000000
3,122_KAN_langsyntaxshapes_05_PL2017,1.000000
3,127_KAN_langsyntaxshapes_08_PL2017,1.000000
3,127_KAN_prod_03_PL2017,1.000000
3,132_KAN_stories_10_PL2017,1.000000
3,145_KAN_stories_09_PL2017,1.000000
3,149_KAN_parametric_05_PL2017,1.000000
3,152_KAN_stories_13_PL2017,1.000000
4,017_domspec_09_PL2017,1.000000
4,019_KAN_langevents_08_PL2017,1.000000
4,019_KAN_langmus_05_PL2017,1.000000
4,019_KAN_domspec_03_PL2017,1.000000
4,021_domspec_10_PL2017,1.000000
4,023_langmus_07_PL2017,1.000000
4,030_KAN_langstroopBL_11_PL2017,1.000000
4,034_domspec_01_PL2017,1.000000
4,035_domspec_04_PL2017,1.000000
4,036_KAN_domspec_05_PL2017,1.000000
4,037_domspec_06_PL2017,1.000000
4,038_domspec_07_PL2017,1.000000
4,039_domspec_08_PL2017,1.000000
4,040_domspec_11_PL2017,1.000000
4,040_KAN_langevents_01_PL2017,1.000000
4,040_KAN_langstroop_05_PL2017,1.000000
4,041_KAN_domspec_12_PL2017,1.000000
4,042_domspec_13_PL2017,1.000000
4,043_langmus_01_PL2017,1.000000
4,044_langmus_02_PL2017,1.000000
4,045_langmus_06_PL2017,1.000000
4,046_KAN_langmus_08_PL2017,1.000000
4,046_KAN_langstroop_01_PL2017,1.000000
4,047_KAN_syntax_12_PL2017,1.000000
4,047_langmus_09_PL2017,1.000000
4,048_KAN_syntax_08_PL2017,1.000000
4,048_langmus_10_PL2017,1.000000
4,049_KAN_langmus_11_PL2017,1.000000
4,050_KAN_langmus_12_PL2017,1.000000
4,050_KAN_syntax_05_PL2017,1.000000
4,051_langmus_13_PL2017,1.000000
4,052_langmus_14_PL2017,1.000000
4,054_KAN_langstroop_02_PL2017,1.000000
4,056_KAN_langstroop_04_PL2017,1.000000
