subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
3,283628,0.6667,72,65,29,-52,2,-16
3,283629,0.6667,73,65,29,-54,2,-16
3,283718,0.3333,71,66,29,-50,4,-16
3,283719,0.6667,72,66,29,-52,4,-16
3,283720,1.0000,73,66,29,-54,4,-16
3,283721,0.3333,74,66,29,-56,4,-16
3,283810,0.6667,72,67,29,-52,6,-16
3,284123,0.3333,21,71,29,50,14,-16
3,284213,0.3333,20,72,29,52,16,-16
3,284214,0.3333,21,72,29,50,16,-16
3,284215,0.3333,22,72,29,48,16,-16
3,292457,0.3333,74,53,30,-56,-22,-14
3,292495,0.3333,21,54,30,50,-20,-14
3,292546,0.6667,72,54,30,-52,-20,-14
3,292547,1.0000,73,54,30,-54,-20,-14
3,292548,0.6667,74,54,30,-56,-20,-14
3,292549,0.3333,75,54,30,-58,-20,-14
3,292584,0.3333,19,55,30,54,-18,-14
3,292585,0.3333,20,55,30,52,-18,-14
3,292586,0.3333,21,55,30,50,-18,-14
3,292636,0.3333,71,55,30,-50,-18,-14
3,292637,0.6667,72,55,30,-52,-18,-14
3,292638,0.6667,73,55,30,-54,-18,-14
3,292639,0.6667,74,55,30,-56,-18,-14
3,292643,0.6667,78,55,30,-64,-18,-14
3,292673,0.3333,17,56,30,58,-16,-14
3,292674,0.3333,18,56,30,56,-16,-14
3,292675,0.3333,19,56,30,54,-16,-14
3,292676,0.3333,20,56,30,52,-16,-14
3,292677,0.3333,21,56,30,50,-16,-14
3,292727,0.3333,71,56,30,-50,-16,-14
3,292728,0.6667,72,56,30,-52,-16,-14
3,292729,0.6667,73,56,30,-54,-16,-14
3,292730,0.3333,74,56,30,-56,-16,-14
3,292734,0.3333,78,56,30,-64,-16,-14
3,292762,0.3333,15,57,30,62,-14,-14
3,292763,0.3333,16,57,30,60,-14,-14
3,292764,0.3333,17,57,30,58,-14,-14
3,292765,0.3333,18,57,30,56,-14,-14
3,292766,0.3333,19,57,30,54,-14,-14
3,292767,0.3333,20,57,30,52,-14,-14
3,292768,0.3333,21,57,30,50,-14,-14
3,292819,0.3333,72,57,30,-52,-14,-14
3,292852,0.3333,14,58,30,64,-12,-14
3,292853,1.0000,15,58,30,62,-12,-14
3,292854,1.0000,16,58,30,60,-12,-14
3,292855,0.6667,17,58,30,58,-12,-14
3,292856,0.6667,18,58,30,56,-12,-14
3,292857,0.3333,19,58,30,54,-12,-14
3,292858,0.3333,20,58,30,52,-12,-14
3,292943,0.6667,14,59,30,64,-10,-14
3,292944,1.0000,15,59,30,62,-10,-14
3,292945,1.0000,16,59,30,60,-10,-14
3,292946,1.0000,17,59,30,58,-10,-14
3,292947,0.3333,18,59,30,56,-10,-14
3,293035,0.6667,15,60,30,62,-8,-14
3,293036,0.6667,16,60,30,60,-8,-14
3,293037,0.6667,17,60,30,58,-8,-14
3,293126,0.3333,15,61,30,62,-6,-14
3,293217,0.3333,15,62,30,62,-4,-14
3,293455,0.3333,71,64,30,-50,0,-14
3,293456,0.6667,72,64,30,-52,0,-14
3,293546,0.6667,71,65,30,-50,2,-14
3,293547,1.0000,72,65,30,-52,2,-14
3,293548,0.3333,73,65,30,-54,2,-14
3,293638,0.6667,72,66,30,-52,4,-14
3,293639,0.3333,73,66,30,-54,4,-14
3,294042,0.3333,21,71,30,50,14,-14
3,294133,0.6667,21,72,30,50,16,-14
3,294134,0.3333,22,72,30,48,16,-14
3,294408,1.0000,23,75,30,46,22,-14
3,294409,1.0000,24,75,30,44,22,-14
3,294453,0.3333,68,75,30,-44,22,-14
3,294454,0.3333,69,75,30,-46,22,-14
3,294499,0.6667,23,76,30,46,24,-14
3,294500,1.0000,24,76,30,44,24,-14
3,294501,1.0000,25,76,30,42,24,-14
3,294543,0.3333,67,76,30,-42,24,-14
3,294544,0.3333,68,76,30,-44,24,-14
3,294545,0.3333,69,76,30,-46,24,-14
3,294590,0.6667,23,77,30,46,26,-14
3,294591,1.0000,24,77,30,44,26,-14
3,294592,1.0000,25,77,30,42,26,-14
3,294634,0.3333,67,77,30,-42,26,-14
3,294635,0.3333,68,77,30,-44,26,-14
3,294636,0.3333,69,77,30,-46,26,-14
3,294682,1.0000,24,78,30,44,28,-14
3,294683,1.0000,25,78,30,42,28,-14
3,294725,0.3333,67,78,30,-42,28,-14
3,294726,0.3333,68,78,30,-44,28,-14
3,294774,0.6667,25,79,30,42,30,-14
3,294816,0.3333,67,79,30,-42,30,-14
3,302323,0.3333,21,53,31,50,-22,-12
3,302324,0.3333,22,53,31,48,-22,-12
3,302325,0.3333,23,53,31,46,-22,-12
3,302326,0.3333,24,53,31,44,-22,-12
3,302376,0.3333,74,53,31,-56,-22,-12
3,302413,0.3333,20,54,31,52,-20,-12
3,302414,0.3333,21,54,31,50,-20,-12
3,302415,0.3333,22,54,31,48,-20,-12
3,302416,0.3333,23,54,31,46,-20,-12
3,302417,0.3333,24,54,31,44,-20,-12
3,302465,0.6667,72,54,31,-52,-20,-12
3,302466,1.0000,73,54,31,-54,-20,-12
3,302467,1.0000,74,54,31,-56,-20,-12
3,302468,0.3333,75,54,31,-58,-20,-12
3,302471,0.3333,78,54,31,-64,-20,-12
3,302502,0.3333,18,55,31,56,-18,-12
3,302503,0.3333,19,55,31,54,-18,-12
3,302504,0.3333,20,55,31,52,-18,-12
3,302505,0.3333,21,55,31,50,-18,-12
3,302556,0.6667,72,55,31,-52,-18,-12
3,302557,0.6667,73,55,31,-54,-18,-12
3,302558,0.6667,74,55,31,-56,-18,-12
3,302559,0.6667,75,55,31,-58,-18,-12
3,302561,0.3333,77,55,31,-62,-18,-12
3,302562,0.6667,78,55,31,-64,-18,-12
3,302591,0.3333,16,56,31,60,-16,-12
3,302592,0.3333,17,56,31,58,-16,-12
3,302593,0.3333,18,56,31,56,-16,-12
3,302594,0.3333,19,56,31,54,-16,-12
3,302595,0.3333,20,56,31,52,-16,-12
3,302596,0.3333,21,56,31,50,-16,-12
3,302646,0.3333,71,56,31,-50,-16,-12
3,302647,0.6667,72,56,31,-52,-16,-12
3,302648,0.6667,73,56,31,-54,-16,-12
3,302649,0.6667,74,56,31,-56,-16,-12
3,302650,0.3333,75,56,31,-58,-16,-12
3,302651,0.6667,76,56,31,-60,-16,-12
3,302652,0.6667,77,56,31,-62,-16,-12
3,302653,0.6667,78,56,31,-64,-16,-12
3,302681,0.3333,15,57,31,62,-14,-12
3,302682,0.3333,16,57,31,60,-14,-12
3,302683,0.6667,17,57,31,58,-14,-12
3,302684,0.6667,18,57,31,56,-14,-12
