ROI,Subject,Effect, LocalizerSize,EffectSize
1,263_KAN_evDB_20150306_PL2017,S, 37,1.709137
1,263_KAN_evDB_20150306_PL2017,N, 37,0.166901
1,264_KAN_EvDB_20150310c_PL2017,S, 37,2.029665
1,264_KAN_EvDB_20150310c_PL2017,N, 37,1.271127
1,265_KAN_EvDB_20150310d_PL2017,S, 37,3.387669
1,265_KAN_EvDB_20150310d_PL2017,N, 37,0.538548
1,266_KAN_EvDB_20150311c_PL2017,S, 37,1.316674
1,266_KAN_EvDB_20150311c_PL2017,N, 37,-0.516692
1,267_KAN_EvDB_20150316a_PL2017,S, 37,0.117489
1,267_KAN_EvDB_20150316a_PL2017,N, 37,0.289494
1,268_FED_20170929a_3T2_PL2017,S, 37,-0.086600
1,268_FED_20170929a_3T2_PL2017,N, 37,-0.478985
1,268_KAN_EvDB_20150317a_PL2017,S, 37,0.491215
1,268_KAN_EvDB_20150317a_PL2017,N, 37,0.096338
1,269_KAN_EvDB_20150317b_PL2017,S, 37,2.037082
1,269_KAN_EvDB_20150317b_PL2017,N, 37,0.544325
1,270_KAN_EvDB_20150317c_PL2017,S, 37,0.741851
1,270_KAN_EvDB_20150317c_PL2017,N, 37,0.185579
1,271_KAN_EvDB_20150323a_PL2017,S, 37,4.185294
1,271_KAN_EvDB_20150323a_PL2017,N, 37,0.928929
1,271_FED_20150908a_3T2_PL2017,S, 37,3.464179
1,271_FED_20150908a_3T2_PL2017,N, 37,0.232102
1,272_KAN_EvDB_20150323b_PL2017,S, 37,1.877670
1,272_KAN_EvDB_20150323b_PL2017,N, 37,0.114458
1,273_KAN_EvDB_20150506_PL2017,S, 37,2.568121
1,273_KAN_EvDB_20150506_PL2017,N, 37,1.642204
1,273_KAN_EvDB_20150323c_PL2017,S, 37,2.089500
1,273_KAN_EvDB_20150323c_PL2017,N, 37,1.106218
1,274_KAN_EvDB_20150324a_PL2017,S, 37,0.911332
1,274_KAN_EvDB_20150324a_PL2017,N, 37,0.495362
1,275_KAN_EvDB_20150324b_PL2017,S, 37,1.948262
1,275_KAN_EvDB_20150324b_PL2017,N, 37,0.683417
1,276_KAN_EvDB_20150325a_PL2017,S, 37,3.753361
1,276_KAN_EvDB_20150325a_PL2017,N, 37,0.751701
1,278_KAN_EvDB_20150428a_PL2017,S, 37,2.987436
1,278_KAN_EvDB_20150428a_PL2017,N, 37,0.586186
1,279_KAN_EvDB_20150429a_PL2017,S, 37,2.276637
1,279_KAN_EvDB_20150429a_PL2017,N, 37,-0.090510
1,280_FED_20150811c_3T1_PL2017,S, 37,0.002789
1,280_FED_20150811c_3T1_PL2017,N, 37,0.032877
1,280_KAN_EvDB_20150429b_PL2017,S, 37,0.819776
1,280_KAN_EvDB_20150429b_PL2017,N, 37,0.405899
1,281_KAN_EvDB_20150429e_PL2017,S, 37,1.130075
1,281_KAN_EvDB_20150429e_PL2017,N, 37,0.226723
1,282_KAN_EvDB_20150505a_PL2017,S, 37,3.453352
1,282_KAN_EvDB_20150505a_PL2017,N, 37,0.999647
1,283_FED_20170831b_3T2_PL2017,S, 37,0.011237
1,283_FED_20170831b_3T2_PL2017,N, 37,-0.425437
1,283_KAN_EvDB_20150505b_PL2017,S, 37,1.777062
1,283_KAN_EvDB_20150505b_PL2017,N, 37,0.249824
1,284_KAN_EvDB_20150508_PL2017,S, 37,3.899623
1,284_KAN_EvDB_20150508_PL2017,N, 37,0.942928
1,286_KAN_EvDB_20150521a_PL2017,S, 37,1.321444
1,286_KAN_EvDB_20150521a_PL2017,N, 37,0.489456
1,287_KAN_EvDB_20150521c_PL2017,S, 37,0.629031
1,287_KAN_EvDB_20150521c_PL2017,N, 37,-0.060350
1,288_FED_20170412b_3T2_PL2017,S, 37,1.851440
1,288_FED_20170412b_3T2_PL2017,N, 37,0.798888
1,288_FED_20150613a_3T1_PL2017,S, 37,1.122868
1,288_FED_20150613a_3T1_PL2017,N, 37,0.483371
1,289_FED_20150613b_3T1_PL2017,S, 37,2.465904
1,289_FED_20150613b_3T1_PL2017,N, 37,0.597186
1,290_FED_20170109b_3T2_PL2017,S, 37,1.175436
1,290_FED_20170109b_3T2_PL2017,N, 37,0.278930
1,290_FED_20170426a_3T2_PL2017,S, 37,0.644639
1,290_FED_20170426a_3T2_PL2017,N, 37,0.154199
1,290_FED_20150615a_3T2_PL2017,S, 37,1.831292
1,290_FED_20150615a_3T2_PL2017,N, 37,0.509263
1,291_FED_20160523a_3T2_PL2017,S, 37,1.331512
1,291_FED_20160523a_3T2_PL2017,N, 37,-0.055521
1,291_FED_20150615b_3T2_PL2017,S, 37,2.495561
1,291_FED_20150615b_3T2_PL2017,N, 37,0.797947
1,292_FED_20150615c_3T2_PL2017,S, 37,2.281232
1,292_FED_20150615c_3T2_PL2017,N, 37,0.793748
1,293_FED_20150619a_3T2_PL2017,S, 37,0.934772
1,293_FED_20150619a_3T2_PL2017,N, 37,0.044281
1,294_FED_20150619b_3T2_PL2017,S, 37,2.775083
1,294_FED_20150619b_3T2_PL2017,N, 37,2.052178
1,295_FED_20150625a_3T2_PL2017,S, 37,3.008301
1,295_FED_20150625a_3T2_PL2017,N, 37,0.236767
1,296_FED_20150810a_3T1_PL2017,S, 37,1.103521
1,296_FED_20150810a_3T1_PL2017,N, 37,0.653847
1,296_FED_20150625b_3T2_PL2017,S, 37,1.116524
1,296_FED_20150625b_3T2_PL2017,N, 37,0.980495
1,297_FED_20150625c_3T2_PL2017,S, 37,0.972254
1,297_FED_20150625c_3T2_PL2017,N, 37,-0.054918
1,298_FED_20150625d_3T2_PL2017,S, 37,1.527577
1,298_FED_20150625d_3T2_PL2017,N, 37,0.052958
1,298_FED_20150810b_3T1_PL2017,S, 37,1.510672
1,298_FED_20150810b_3T1_PL2017,N, 37,-0.238613
1,299_FED_20150708a_3T2_PL2017,S, 37,0.548501
1,299_FED_20150708a_3T2_PL2017,N, 37,0.390085
1,300_FED_20150708b_3T2_PL2017,S, 37,0.996026
1,300_FED_20150708b_3T2_PL2017,N, 37,0.805398
1,301_FED_20150708c_3T2_PL2017,S, 37,1.711354
