subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
43,272839,0.5000,21,56,28,50,-16,-18
43,272840,0.2500,22,56,28,48,-16,-18
43,272888,0.2500,70,56,28,-48,-16,-18
43,272925,0.5000,16,57,28,60,-14,-18
43,272926,0.5000,17,57,28,58,-14,-18
43,272927,0.7500,18,57,28,56,-14,-18
43,272979,0.2500,70,57,28,-48,-14,-18
43,272980,0.2500,71,57,28,-50,-14,-18
43,273016,0.2500,16,58,28,60,-12,-18
43,273017,1.0000,17,58,28,58,-12,-18
43,273018,1.0000,18,58,28,56,-12,-18
43,273019,1.0000,19,58,28,54,-12,-18
43,273070,0.2500,70,58,28,-48,-12,-18
43,273071,0.7500,71,58,28,-50,-12,-18
43,273072,0.2500,72,58,28,-52,-12,-18
43,273108,0.5000,17,59,28,58,-10,-18
43,273109,1.0000,18,59,28,56,-10,-18
43,273110,1.0000,19,59,28,54,-10,-18
43,273111,0.2500,20,59,28,52,-10,-18
43,273161,0.2500,70,59,28,-48,-10,-18
43,273162,1.0000,71,59,28,-50,-10,-18
43,273163,1.0000,72,59,28,-52,-10,-18
43,273200,0.5000,18,60,28,56,-8,-18
43,273201,0.7500,19,60,28,54,-8,-18
43,273202,0.7500,20,60,28,52,-8,-18
43,273203,0.2500,21,60,28,50,-8,-18
43,273252,0.5000,70,60,28,-48,-8,-18
43,273253,0.7500,71,60,28,-50,-8,-18
43,273254,0.5000,72,60,28,-52,-8,-18
43,273292,0.2500,19,61,28,54,-6,-18
43,273293,0.7500,20,61,28,52,-6,-18
43,273294,0.7500,21,61,28,50,-6,-18
43,273295,0.2500,22,61,28,48,-6,-18
43,273343,0.5000,70,61,28,-48,-6,-18
43,273383,0.2500,19,62,28,54,-4,-18
43,273384,0.7500,20,62,28,52,-4,-18
43,273385,0.5000,21,62,28,50,-4,-18
43,273434,0.2500,70,62,28,-48,-4,-18
43,273473,0.2500,18,63,28,56,-2,-18
43,273474,0.5000,19,63,28,54,-2,-18
43,273475,0.2500,20,63,28,52,-2,-18
43,273565,0.5000,19,64,28,54,0,-18
43,273566,0.2500,20,64,28,52,0,-18
43,273655,0.2500,18,65,28,56,2,-18
43,273656,0.7500,19,65,28,54,2,-18
43,273746,0.7500,18,66,28,56,4,-18
43,273747,1.0000,19,66,28,54,4,-18
43,273748,0.2500,20,66,28,52,4,-18
43,273837,0.2500,18,67,28,56,6,-18
43,273838,1.0000,19,67,28,54,6,-18
43,273839,1.0000,20,67,28,52,6,-18
43,273931,0.5000,21,68,28,50,8,-18
43,273932,0.2500,22,68,28,48,8,-18
43,274022,0.5000,21,69,28,50,10,-18
43,274023,0.5000,22,69,28,48,10,-18
43,274070,0.5000,69,69,28,-46,10,-18
43,274071,0.2500,70,69,28,-48,10,-18
43,274072,0.2500,71,69,28,-50,10,-18
43,274114,0.2500,22,70,28,48,12,-18
43,274161,0.7500,69,70,28,-46,12,-18
43,274202,0.2500,19,71,28,54,14,-18
43,274203,0.2500,20,71,28,52,14,-18
43,274252,0.5000,69,71,28,-46,14,-18
43,274294,0.2500,20,72,28,52,16,-18
43,274480,0.7500,24,74,28,44,20,-18
43,274524,0.7500,68,74,28,-44,20,-18
43,274525,0.5000,69,74,28,-46,20,-18
43,274571,1.0000,24,75,28,44,22,-18
43,274615,0.5000,68,75,28,-44,22,-18
43,282483,0.2500,19,53,29,54,-22,-16
43,282537,0.2500,73,53,29,-54,-22,-16
43,282538,0.5000,74,53,29,-56,-22,-16
43,282624,0.5000,69,54,29,-46,-20,-16
43,282625,0.5000,70,54,29,-48,-20,-16
43,282626,0.5000,71,54,29,-50,-20,-16
43,282627,0.2500,72,54,29,-52,-20,-16
43,282628,0.2500,73,54,29,-54,-20,-16
43,282629,0.5000,74,54,29,-56,-20,-16
43,282667,0.2500,21,55,29,50,-18,-16
43,282668,0.2500,22,55,29,48,-18,-16
43,282715,0.5000,69,55,29,-46,-18,-16
43,282716,0.7500,70,55,29,-48,-18,-16
43,282717,1.0000,71,55,29,-50,-18,-16
43,282754,0.2500,17,56,29,58,-16,-16
43,282758,0.2500,21,56,29,50,-16,-16
43,282759,0.2500,22,56,29,48,-16,-16
43,282807,0.5000,70,56,29,-48,-16,-16
43,282808,0.2500,71,56,29,-50,-16,-16
43,282844,0.5000,16,57,29,60,-14,-16
43,282845,0.7500,17,57,29,58,-14,-16
43,282846,0.5000,18,57,29,56,-14,-16
43,282935,0.2500,16,58,29,60,-12,-16
43,282936,1.0000,17,58,29,58,-12,-16
43,282937,1.0000,18,58,29,56,-12,-16
